version,team,winner,finalist,semi_finalist,quarter_finalist
2026,France,1,1,0,1
2026,Spain,0,0,0,1
2026,Argentina,0,0,1,1
2026,England,0,1,0,1
2026,Portugal,0,0,1,0
2026,Brazil,0,0,0,0
2026,Netherlands,0,0,0,1
2026,Morocco,0,0,1,1
2026,Belgium,0,0,0,1
2026,Germany,0,0,0,0
2026,Croatia,0,0,0,0
2026,Colombia,0,0,0,0
2026,Senegal,0,0,1,1
2026,Mexico,0,0,0,0
2026,United States,0,0,0,0
2026,Uruguay,0,0,0,0
2026,Japan,0,0,0,0
2026,Switzerland,0,0,0,0
2026,Iran,0,0,0,0
2026,Turkey,0,0,0,0
2026,Ecuador,0,0,0,0
2026,Austria,0,0,0,0
2026,South Korea,0,0,0,0
2026,Australia,0,0,0,0
2026,Algeria,0,0,0,0
2026,Egypt,0,0,0,0
2026,Canada,0,0,0,0
2026,Norway,0,0,0,0
2026,Panama,0,0,0,0
2026,Ivory Coast,0,0,0,0
2026,Sweden,0,0,0,0
2026,Paraguay,0,0,0,0
2026,Czech Republic,0,0,0,0
2026,Scotland,0,0,0,0
2026,Tunisia,0,0,0,0
2026,DR Congo,0,0,0,0
2026,Uzbekistan,0,0,0,0
2026,Qatar,0,0,0,0
2026,Iraq,0,0,0,0
2026,South Africa,0,0,0,0
2026,Saudi Arabia,0,0,0,0
2026,Jordan,0,0,0,0
2026,Bosnia and Herzegovina,0,0,0,0
2026,Cape Verde,0,0,0,0
2026,Ghana,0,0,0,0
2026,Curacao,0,0,0,0
2026,Haiti,0,0,0,0
2026,New Zealand,0,0,0,0
